
34,34,75.0,-1.0,-1.0,75.0,0,0,0,0,84.0,-1.0,-1.0,84.0,40.0,-1.0,-1.0,40.0,,34,UP,,34,0.0
35,35,-1.0,45.0,-1.0,45.0,0,0,0,0,-1.0,84.0,-1.0,84.0,-1.0,24.0,-1.0,24.0,,35,UP,,35,0.0
36,36,-1.0,73.0,-1.0,51.0,0,0,0,0,-1.0,84.0,-1.0,84.0,-1.0,24.0,-1.0,24.0,,36,UP,,36,0.0
37,37,-1.0,25.0,25.0,-1.0,0,0,0,0,-1.0,84.0,84.0,-1.0,-1.0,36.0,36.0,-1.0,,37,RIGHT,,37,0.1
38,38,-1.0,27.0,70.0,27.0,0,0,0,0,-1.0,48.0,73.0,48.0,-1.0,4.0,4.0,4.0,,38,UP,,38,0.1
39,39,33.0,-1.0,33.0,-1.0,0,0,0,0,72.0,-1.0,120.0,-1.0,28.0,-1.0,69.0,-1.0,,39,LEFT,,39,0.0
40,40,71.0,-1.0,71.0,71.0,0,0,0,0,96.0,-1.0,96.0,96.0,52.0,-1.0,52.0,52.0,,40,RIGHT,,40,0.0
41,41,75.0,-1.0,73.0,73.0,0,0,0,0,96.0,-1.0,96.0,96.0,44.0,-1.0,44.0,52.0,,41,RIGHT,,41,0.0
42,42,-1.0,-1.0,73.0,73.0,0,0,0,0,-1.0,-1.0,120.0,72.0,-1.0,-1.0,44.0,28.0,,42,DOWN,,42,0.0
43,43,56.0,61.0,-1.0,56.0,0,0,0,0,48.0,48.0,-1.0,48.0,4.0,4.0,-1.0,4.0,,43,RIGHT,,43,0.0
44,44,-1.0,-1.0,57.0,77.0,0,0,0,0,-1.0,-1.0,84.0,84.0,-1.0,-1.0,40.0,40.0,,44,LEFT,,44,0.0
45,45,47.0,47.0,47.0,-1.0,0,0,0,0,96.0,96.0,96.0,-1.0,44.0,44.0,44.0,-1.0,,45,UP,,45,0.0
46,46,47.0,71.0,-1.0,-1.0,0,0,0,0,108.0,108.0,-1.0,-1.0,32.0,44.0,-1.0,-1.0,,46,UP,,46,0.0
47,47,41.0,73.0,-1.0,-1.0,0,0,0,0,136.0,136.0,-1.0,-1.0,16.0,60.0,-1.0,-1.0,,47,RIGHT,,47,0.0
48,48,-1.0,89.0,-1.0,41.0,0,0,0,0,-1.0,136.0,-1.0,136.0,-1.0,76.0,-1.0,28.0,,48,LEFT,,48,0.0
49,49,-1.0,79.0,55.0,-1.0,0,0,0,0,-1.0,124.0,124.0,-1.0,-1.0,64.0,40.0,-1.0,,49,DOWN,,49,0.0
50,50,-1.0,97.0,73.0,73.0,0,0,0,0,-1.0,112.0,112.0,112.0,-1.0,68.0,52.0,52.0,,50,RIGHT,,50,0.0
51,51,-1.0,92.0,-1.0,73.0,0,0,0,0,-1.0,100.0,-1.0,100.0,-1.0,56.0,-1.0,56.0,,51,LEFT,,51,0.0
52,52,9.0,71.0,-1.0,9.0,0,0,0,0,136.0,112.0,-1.0,112.0,52.0,68.0,-1.0,52.0,,52,DOWN,,52,0.0
53,53,71.0,-1.0,-1.0,47.0,0,0,0,0,108.0,-1.0,-1.0,108.0,56.0,-1.0,-1.0,56.0,,53,RIGHT,,53,0.0
54,54,73.0,41.0,-1.0,-1.0,0,0,0,0,136.0,136.0,-1.0,-1.0,28.0,76.0,-1.0,-1.0,,54,DOWN,,54,0.0
55,55,-1.0,17.0,17.0,-1.0,0,0,0,0,-1.0,124.0,124.0,-1.0,-1.0,64.0,40.0,-1.0,,55,DOWN,,55,0.0
56,56,-1.0,7.0,73.0,7.0,0,0,0,0,-1.0,112.0,112.0,112.0,-1.0,68.0,52.0,52.0,,56,LEFT,,56,0.0
57,57,-1.0,71.0,-1.0,31.0,0,0,0,0,-1.0,100.0,-1.0,100.0,-1.0,56.0,-1.0,56.0,,57,LEFT,,57,0.0
58,58,39.0,71.0,-1.0,39.0,0,0,0,0,136.0,112.0,-1.0,112.0,52.0,68.0,-1.0,52.0,,58,LEFT,,58,0.0
