
0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,41.0,-1.0,-1.0,-1.0,119.0,,0,NEUTRAL,,0,-0.1
1,1,-1.0,76.0,-1.0,-1.0,0,-1.0,57.0,-1.0,-1.0,-1.0,139.0,-1.0,-1.0,,1,NEUTRAL,,1,0.0
2,2,-1.0,20.0,-1.0,-1.0,0,-1.0,53.0,-1.0,-1.0,-1.0,119.0,-1.0,-1.0,,2,NEUTRAL,,2,0.0
3,3,-1.0,20.0,-1.0,-1.0,0,-1.0,41.0,-1.0,-1.0,-1.0,134.0,-1.0,-1.0,,3,DOWN,,3,0.0
4,4,-1.0,-1.0,20.0,-1.0,0,-1.0,-1.0,93.0,-1.0,-1.0,-1.0,148.0,-1.0,,4,LEFT,,4,0.0
5,5,-1.0,-1.0,20.0,-1.0,0,-1.0,-1.0,89.0,-1.0,-1.0,-1.0,149.0,-1.0,,5,DOWN,,5,0.0
6,6,36.0,-1.0,-1.0,-1.0,0,81.0,-1.0,-1.0,-1.0,145.0,-1.0,-1.0,-1.0,,6,DOWN,,6,0.0
7,7,20.0,-1.0,-1.0,-1.0,0,73.0,-1.0,-1.0,-1.0,109.0,-1.0,-1.0,-1.0,,7,RIGHT,,7,0.0
8,8,-1.0,-1.0,40.0,-1.0,0,-1.0,-1.0,69.0,-1.0,-1.0,-1.0,145.0,-1.0,,8,LEFT,,8,0.0
9,9,-1.0,-1.0,20.0,-1.0,0,-1.0,-1.0,69.0,-1.0,-1.0,-1.0,129.0,-1.0,,9,RIGHT,,9,0.0
10,10,-1.0,-1.0,28.0,-1.0,0,-1.0,-1.0,65.0,-1.0,-1.0,-1.0,90.0,-1.0,,10,LEFT,,10,0.0
11,11,-1.0,68.0,-1.0,-1.0,0,-1.0,57.0,-1.0,-1.0,-1.0,145.0,-1.0,-1.0,,11,DOWN,,11,0.0
12,12,-1.0,20.0,-1.0,-1.0,0,-1.0,57.0,-1.0,-1.0,-1.0,111.0,-1.0,-1.0,,12,RIGHT,,12,0.0
